时间,城市,昵称,性别,等级,评分,评论
2018-10-13,北京,eRR700573634,1,4,3,不一样的青春片，还不错，任重的出现太跳戏
2018-10-13,包头,卢宗毓15,0,2,5,女友哭的稀里哗啦的 以后再来看吧 环境不错
2018-10-13,温州,殇心de狼,0,2,4,还可以吧，，
2018-10-13,长清区,SDX121356295,0,2,5,落落厉害 四爷牛逼
2018-10-13,呼伦贝尔,fengjuns,1,3,3.5,还好吧 影片质量 总体还可以  虽不是期待的那样好看
2018-10-13,驻马店,稀罕lc,0,1,5,比起想象中，稍微虐了一点，不过还好，小说里更虐，电影选材很有意义
2018-10-13,成都,Super荔枝,2,2,2,产生不了共鸣  ， 不好看
2018-10-13,佛山,Wendy,2,3,4.5,有笑点有泪点，青春的故事希望能唤醒欺凌者的良知。
2018-10-13,西安,Eab206201391,0,2,4.5,好看。。。。。
2018-10-13,赣州,fffty1991,1,2,3,前段明显在拖时间，演员是新人演技不在线
2018-10-13,韶关,ym180,0,2,5,可以可以可以
2018-10-13,玉林,VJJ960685859,0,2,5,很好的片子的
2018-10-13,徐州,权夫人。520,2,2,5,眼泪留不住。
2018-10-13,上海,yML496309741,0,3,5,太好看了，，感动
2018-10-13,酉阳土家族苗族自治县,小黄赢,2,4,4.5,好看，值得一看
