时间,城市,昵称,性别,等级,评分,评论
2018-09-21,马鞍山,yXC411967616,0,1,5,远离校园暴力，但是也担心未成年人保护法被无视掉
2018-09-21,成都,昔日____,1,3,5,其实不是每个被欺凌的人身边都有一个顾森西
2018-09-21,鞍山,琪琪琪琪琪琪琪子,2,4,5,好红红火火恍恍惚惚
2018-09-21,成都,Jove一路向北,2,3,3,一般般 真心一般般 为什么不是郭敬明自己拍
2018-09-21,盐城,晓语啊,2,2,4,符合小说，虽然演员都是新人，不过挺带感的
2018-09-21,常州,懒人丶春风十里,0,2,5,没看过小说，原本以为是个爱情电影，看了才知道，这个电影是写校园霸凌的，深受感动，好评！
2018-09-21,潍坊,天使洪辰,1,3,5,电影很好看。
2018-09-21,长沙,土豆就是土豆丝儿,0,2,4,"青春的回忆   最后结局虽然改了但还是很圆满的，小四看来也是年纪大了，走不了虐心路线了哈哈哈，齐名很帅很怂，顾森西像个小天使美好的不像话，可能小四的青春里也有这样一个人吧
不过电影里的欺负人同学会愧疚，现实要残忍多了，欺负人的人会很快忘记，留给被欺负的人的只有深深地伤痕了，整个影片里最喜欢顾森西"
2018-09-21,汕头,瓦就是我,1,2,5,看完有种想死的冲动
2018-09-21,西安,HkF448829987,2,4,5,好看 还没看够就结束了 ，我们还伸出手的时候不要犹豫，你的一点关爱会给别人很大的勇气。观看者比实施者更可恶
2018-09-21,合肥,逛～吃.com,2,3,5,不错，拍的很真实，在食堂拿水管子那段真想跳起来对着屏幕大喊：干得漂亮！那些跟风的人就该受教训！
2018-09-21,兴化,YKU186441525,0,3,5,"我永远都不可能去原谅她们，在我小学二年级用言语欺压我的同学和老师，她们传播，说我是没有妈妈的孩子，不要跟我玩，老师也用异样的眼光看我，他们在我的桌椅上用小刀划的一道道口子，就和在我身上划的一样，她们孤立我，欺负我，我永远不可能原谅。她们整我，偷我书本，扔我作业，弄坏我的校服，一辈子都会恨她们。即使我现在已经长大了，即使我知道年少无知的道理。但是，这句话只有施暴者才会说的轻描淡写。虽然她们那时候还小，可是，那时候我也是小，她们不会记得，我会记得。
电影很好，还原原著。"
2018-09-21,鞍山,云深不知处3137,2,4,4.5,物是人非事事休 欲语泪先流
2018-09-21,深圳,bEP476306464,2,5,5,校园欺凌，语言暴力也是暴力，看的伤心，为以前的性格内敛的学生感到伤心，为那些无知的学生感到悲哀
2018-09-21,萍乡,sak3123,1,3,4,挺好看的一部电影，讲述人性的丑恶，值得大家反思，对未成年教育，尤其是思想教育和法律教育…………
