第五篇 第三十一章 龙王拒绝,2523,2018-01-01 12:50:06
第五篇 第三十二章 赦免的条件,2612,2018-01-02 00:30:14
第五篇 第三十三章 上古天龙宫（上）,2622,2018-01-02 22:48:49
第五篇 第三十四章 上古天龙宫（下）,3090,2018-01-03 00:25:07
第五篇 第三十五章 暂时离开,3068,2018-01-03 13:17:17
第五篇 第三十六章 好心提醒,2597,2018-01-04 00:19:42
第五篇 第三十七章 三年,2599,2018-01-04 13:24:25
第五篇 第三十八章 终成金丹（本篇终）,2798,2018-01-05 01:54:40
第六篇 玉瓶内的魔神 第一章 天龙血晶,2849,2018-01-06 13:10:37
第六篇 玉瓶内的魔神 第二章 法宝‘乾坤环’,2600,2018-01-07 01:00:48
第六篇 第三章 大收获,3230,2018-01-07 13:16:08
第六篇 第四章 真相,2810,2018-01-08 00:45:52
第六篇 第五章 龙女敖雪,2897,2018-01-08 13:13:19
第六篇 第六章 查探入口,2786,2018-01-09 00:59:19
第六篇 第七章 了断,2758,2018-01-09 11:14:46
第六篇 第八章 玉瓶,2886,2018-01-10 13:06:36
第六篇 第九章 云州除妖,2716,2018-01-11 01:12:10
第六篇 第十章 青翅妖王的绝望,2595,2018-01-11 12:45:19
第六篇 第十一章 他一定入道了！,2523,2018-01-12 01:09:55
第六篇 第十二章 玉瓶的归属,2896,2018-01-12 12:45:33
第六篇 第十三章 天下大变,2709,2018-01-13 01:26:20
第六篇 第十四章 降临,2672,2018-01-13 13:40:57
第六篇 第十五章 岁月,2750,2018-01-14 01:26:12
第六篇 第十六章 玉瓶再现,2939,2018-01-14 13:23:46
第六篇 第十七章 秦云来了,3120,2018-01-15 00:49:25
第六篇 第十八章 人的名，树的影,2869,2018-01-15 12:58:39
第六篇 第十九章 疑似法宝,2950,2018-01-16 01:39:05
第六篇 第二十章 困兽,2673,2018-01-16 12:22:20
第六篇 第二十一章 活捉,2595,2018-01-17 01:39:26
第六篇 第二十二章 于石奇的报复,2756,2018-01-17 12:56:40
第六篇 第二十三章 瓶塞和玉瓶,2517,2018-01-18 01:16:52
第六篇 第二十四章 秦云战魔神（上）,2513,2018-01-18 13:53:49
第六篇 第二十五章 秦云战魔神（中）,2376,2018-01-19 02:07:03
第六篇 第二十六章 秦云战魔神（下）,2452,2018-01-19 10:55:29
第六篇 第二十七章 张祖师和玉瓶,2616,2018-01-20 14:10:17
第六篇 第二十八章 魔神卜明,2505,2018-01-21 12:15:39
第六篇 第二十九章 五件宝物,2880,2018-01-21 23:16:51
第六篇 第三十章 那一截手臂（本篇终）,2780,2018-01-22 12:57:19
第七篇 入道 第一章 成年礼,2325,2018-01-23 01:41:00
第七篇 入道 第二章 凡俗三重天,2535,2018-01-23 12:07:46
第七篇 入道 第三章 火凤城,2503,2018-01-24 15:00:03
第七篇 入道 第四章 神魔殿,2919,2018-01-25 02:01:22
第七篇 入道 第五章 月光剑术,2791,2018-01-25 18:14:49
第七篇 入道 第六章 伴生灵物,3043,2018-01-26 02:24:26
第七篇 入道 第七章 突破，神魔境（上）,2722,2018-01-26 22:16:25
第七篇 第八章 突破，神魔境（下）,2512,2018-01-28 00:38:19
第七篇 第九章 十年后,2471,2018-01-28 02:47:04
第七篇 第十章 迎战,2658,2018-01-29 01:50:19
第七篇 第十一章 秦云！回来！,4210,2018-01-30 02:11:57
第七篇 第十二章 斩杀魔神,2453,2018-01-30 12:53:02
第七篇 第十三章 处在下风,2706,2018-01-31 02:08:26
第七篇 第十四章 入道,2397,2018-01-31 15:22:06
第七篇 第十五章 拦不住,2766,2018-02-01 01:28:10
第七篇 第十六章 大胜,3112,2018-02-01 12:18:23
第七篇 第十七章 天神,2753,2018-02-02 00:31:20
第七篇 第十八章 五十年期满,2558,2018-02-02 13:56:44
第七篇 第十九章 秦云的目标,2418,2018-02-03 14:46:22
第七篇 第二十章 暴露,2606,2018-02-04 02:36:27
第七篇 第二十一章 魔巢血莲,2578,2018-02-04 14:29:15
第七篇 第二十二章 梦醒，离去,2589,2018-02-05 13:47:10
第七篇 第二十三章 尾声,3579,2018-02-06 00:54:42
第七篇 第二十四章 降临，孟一秋,2375,2018-02-06 16:04:58
第七篇 第二十五章 周山剑派,3122,2018-02-07 02:23:53
第七篇 第二十六章 一招毙命,3011,2018-02-07 15:20:19
第七篇 第二十七章 我可不是极境,2840,2018-02-08 02:47:26
第七篇 第二十八章 地榜排名,3139,2018-02-08 14:24:25
第七篇 第二十九章 乘船去帝京,3212,2018-02-09 00:57:52
第七篇 第三十章 风风雨雨,2593,2018-02-09 15:46:57
第七篇 第三十一章 惜雨楼前,3051,2018-02-10 15:13:25
第七篇 第三十二章 长街之战,3003,2018-02-11 01:54:05
第七篇 第三十三章 ‘锁天’极境,3048,2018-02-11 13:58:26
第七篇 第三十四章 埋伏,2850,2018-02-12 02:49:40
第七篇 第三十五章 凶手,2369,2018-02-12 15:59:12
第七篇 第三十六章 名列天榜,2608,2018-02-13 02:47:58
第七篇 第三十七章 楚国武库,2744,2018-02-13 17:20:45
第七篇 第三十八章 龚燕儿,3348,2018-02-14 02:54:50
第七篇 第三十九章 腊月大雪,2581,2018-02-14 16:06:10
第七篇 第四十章 一剑（春节快乐）,3032,2018-02-15 03:30:34
第七篇 第四十一章 继位,2723,2018-02-21 14:12:11
第七篇 第四十二章 神榜第一,2386,2018-02-22 02:41:12
第七篇 第四十三章 楚王和秦云,2795,2018-02-22 15:27:02
第七篇 第四十四章 李如济拜访,2886,2018-02-23 00:55:54
第七篇 第四十五章 五年后,2415,2018-02-23 13:51:46
第七篇 第四十六章 帝京城的慌乱,2853,2018-02-24 01:37:59
第七篇 第四十七章 寂寞,3052,2018-02-24 15:25:20
第七篇 第四十八章 破碎虚空？,3030,2018-02-25 02:36:56
第七篇 第四十九章 代价,2879,2018-02-25 14:42:46
第七篇 第五十章 大战过后,3356,2018-02-26 02:35:43
第七篇 第五十一章 孟欢,3069,2018-02-27 02:05:47
第七篇 第五十二章 天上地下，谁都救不了你！,3231,2018-02-27 14:48:05
第七篇 第五十三章 第二次入道（上）,2685,2018-02-28 03:14:31
第七篇 第五十四章 第二次入道（下）,2345,2018-02-28 16:24:44
第七篇 第五十五章 战书,2581,2018-03-01 03:00:10
第七篇 第五十六章 三月初九，归泽山,2863,2018-03-01 16:54:36
第七篇 第五十七章 神仙手段,2939,2018-03-02 01:07:28
第七篇 第五十八章 天罚降临,2612,2018-03-02 16:00:39
第七篇 第五十九章 飞升,2976,2018-03-03 16:39:39
第七篇 第六十章 归来，苏醒,2427,2018-03-04 02:53:18
第七篇 第六十一章 布局千年,2456,2018-03-04 16:57:31
第七篇 第六十二章 最终入道？,2778,2018-03-05 03:48:34
第七篇 第六十三章 驱虎吞狼,3166,2018-03-05 18:19:15
第七篇 第六十四章 进入洞天,2552,2018-03-06 03:18:01
第七篇 第六十五章 域外黄蛟,2564,2018-03-06 16:57:44
第七篇 第六十六章 相遇,2711,2018-03-07 17:44:45
第七篇 第六十七章 炼剑成丝，虚空留痕！,2910,2018-03-08 00:25:18
