第一百九十三章 同姓不同命,2789,2018-01-01 23:56
第一百九十四章 降妖和除魔,4655,2018-01-02 22:35
第一百九十五章 镇剑楼,7161,2018-01-03 21:36
第一百九十六章 我辈武夫,5503,2018-01-04 21:07
第一百九十七章 陈平安喝酒了,9532,2018-01-05 20:38
第一百九十八章 少年想要远游,6698,2018-01-07 23:08
第一百九十九章 黄雀去又返,4573,2018-01-09 21:15
第二百章 死局之死结所在,6717,2018-01-10 23:55
第二百零一章 若无闲事挂心头,8437,2018-01-11 23:38
第二百零二章 便是人间好时节,5941,2018-01-12 23:57
第二百零三章 酒鬼少年郎,5164,2018-01-13 16:26
第两百零四章 故人来送剑去,5510,2018-01-13 23:58
第两百零五章 负剑南渡,7351,2018-01-14 23:55
第两百零六章 月儿圆月儿弯,20271,2018-01-15 22:22
第二百零七章 天上掉下个……人,4215,2018-01-17 23:57
第二百零八章 去也,4345,2018-01-18 17:37
第二百零九章 也是木剑,6542,2018-01-18 23:58
第二百一十章 山水相逢也重逢,7155,2018-01-19 23:40
第两百一十一章天作之合,8758,2018-01-20 23:38
第二百一十二章 道高一尺,5284,2018-01-21 23:32
第两百一十三章 憧憬,7406,2018-01-22 23:52
第两百一十四章 风雨夜行,7053,2018-01-25 20:28
第两百一十五章 画眉,5599,2018-01-26 19:49
第二百一十六章 出手,6029,2018-01-27 00:00
第两百一十七章 剑仙,6826,2018-01-27 23:55
第两百一十八章 仙师驾到,7996,2018-01-28 23:56
第两百一十九章 道士吟诗,9375,2018-01-29 23:44
第二百二十章 山水印,7666,2018-01-30 23:27
第二百二十一章 看热闹,3543,2018-02-01 23:58
第二百二十二章 有些离别可以再会,9058,2018-02-02 21:53
第二百二十三章 小街一战,7642,2018-02-03 23:57
第二百二十四章 才子佳人,5954,2018-02-04 23:52
第二百二十五章 夜路,5166,2018-02-06 23:54
第二百二十六章 匣有两剑，降妖除魔,7213,2018-02-08 22:55
第二百二十七章 出剑了,5709,2018-02-09 23:59
第二百二十八章 初一十五，随我除魔,6293,2018-02-10 23:17
第二百二十九章 趋之若鹜,7201,2018-02-11 18:27
第二百三十章 降服,6475,2018-02-12 23:59
第二百三十章 黑云压城,4382,2018-02-14 18:15
第二百三十一章 又见城隍爷,5045,2018-02-15 18:48
第二百三十二章 岁岁平安,8920,2018-02-16 17:53
第二百三十三章 尘埃落定,10002,2018-02-22 22:33
第二百三十四章 夜宿古寺有妖气,5662,2018-02-23 21:41
第二百三十五章 故乡黄花黄,8785,2018-02-24 22:23
第二百三十六章 一山还有一山高,3158,2018-02-26 23:09
第二百三十七章 小暑过后，春风犹在,7083,2018-02-27 21:45
第二百三十八章  春风送君千万里,5184,2018-02-28 17:57
第二百三十九章 观瀑,7643,2018-03-01 21:29
第二百四十章 泥菩萨有火气,5137,2018-03-02 22:35
第二百四十一章 喝过剑仙的酒好吹牛,6518,2018-03-03 20:48
第两百四十二章 月下打瀑，一挂彩虹,11020,2018-03-04 21:54
第二百四十三章 千军万马之前，我喝一口酒,15277,2018-03-06 22:55
第二百四十四章 大骊陈平安在此,10534,2018-03-07 23:06
第二百四十五章 林间簌簌，风雨如晦,5512,2018-03-08 22:34
第二百四十六章 一团乱麻，既见君子,7716,2018-03-09 22:37
第二百四十七章 就此一别，山高水长,7177,2018-03-11 13:52
第二百四十八章 神仙买卖，后会有期,11135,2018-03-11 20:44
第二百四十九章 姹紫嫣红开遍,8812,2018-03-12 21:45
第二百五十章 从最北到最南,8695,2018-03-13 21:03
第二百五十一章 老龙城,5424,2018-03-14 23:05
第二百五十二章 泥菩萨踩剑过河,11475,2018-03-15 23:10
第二百五十三章 有人送剑有人等,12049,2018-03-16 23:31
第二百五十四章 精诚动人也伤人,15746,2018-03-18 23:53
第二百五十五章 传道人传道,10055,2018-03-19 22:09
第二百五十六章 同样是少年郎,5587,2018-03-20 23:33
第二百五十七章 桂花岛之巅,9050,2018-03-21 23:22
第二百五十八章 群山之巅，上有武神,7844,2018-03-22 21:19
第二百五十九章 练拳百万,9911,2018-03-23 23:23
第二百六十章 海上生明月,6253,2018-03-24 23:54
第二百六十一章 有剑从云海来,8075,2018-03-25 23:55
第二百六十二章 一叶扁舟，翩翩少年,11507,2018-03-28 23:20
第二百六十三章 一道符,7799,2018-03-29 21:06
第二百六十四章 大道之上,6937,2018-03-31 23:59
第二百六十五章 大师兄姓左,5609,2018-04-01 23:36
第二百六十六章 磨损心中万古刀,7716,2018-04-02 23:55
第二百六十七章 临近倒悬山,6667,2018-04-03 23:54
第二百六十八章 人间万事细如毛,6469,2018-04-04 23:59
第二百六十九章 我有小事大如斗,10455,2018-04-06 23:33
第二百七十章 好久不见，宁姑娘,4505,2018-04-07 23:09
第二百七十一章 宁姑娘，对不起,5412,2018-04-09 18:37
第二百七十二章 陈平安，你听我说,6784,2018-04-09 23:59
第二百七十三章 一枕黄粱剑气长,4764,2018-04-10 23:56
