第五十四章人间不值得,2596,2018/2/25 20:00
第五十五章白露早为霜,2062,2018/2/26 20:00
第五十六章像井九一样弹琴,2105,2018/2/27 20:00
第五十七章像某某一样下棋,2262,2018/2/28 20:00
第五十八章故园铃声,2196,2018/3/1 20:00
第五十九章云胡不喜,2064,2018/3/2 20:00
第六十章瑟字有几种写法？,2128,2018/3/3 20:00
第六十一章一件小事,2184,2018/3/4 20:00
第六十二章 两句天命,2034,2018/3/5 20:00
第六十三章到底谁有秘密？,2218,2018/3/6 20:00
第六十四章你承受得住吗？,2124,2018/3/7 20:00
第六十五章以剑斩意,2086,2018/3/8 20:00
第六十六章我不想知道你是谁,2040,2018/3/9 20:00
第六十七章你要不要来试试看？,2816,2018/3/10 20:00
第六十八章旧梅园名局的隐形参与者,2091,2018/3/11 20:00
第六十九章挑灯看棋以及看人,1995,2018/3/12 20:00
第七十章打的一手好算盘,2116,2018/3/13 20:00
第七十一章遁去的一,2025,2018/3/14 20:00
第七十二章遁剑者的传说,2180,2018/3/15 20:00
第七十三章井九进宫,2108,2018/3/16 20:00
第七十四章步步生莲,2074,2018/3/17 20:00
第七十五章荷花入夜,2097,2018/3/18 20:00
第七十六章开放,1989,2018/3/19 20:00
第七十七章青山如棋盘,2132,2018/3/20 20:00
第七十八章棋盘上有些灰,2186,2018/3/21 20:00
第七十九章棋枰上的那把火,2519,2018/3/22 20:00
第八十章溪间崖畔尽狂生,2564,2018/3/23 20:00
第八十一章万物如棋,2106,2018/3/24 20:00
第八十二章落子,2056,2018/3/25 20:00
第八十三章看不懂的棋局,2154,2018/3/26 20:00
第八十四章终有一记雷霆,2025,2018/3/27 20:00
第八十五章最后一步,2302,2018/3/28 20:00
第八十六章伟大而痛苦的胜负,2330,2018/3/29 20:00
第八十七章下棋是一件很简单的事情,2357,2018/3/30 20:00
第八十八章度尽棋劫起风波,2207,2018/3/31 20:00
第八十九章有人想见赵腊月,2066,2018/4/1 20:00
第九十章施丰臣的一天,2446,2018/4/2 20:00
第九十一章王小明的半生,2185,2018/4/3 20:00
第九十二章赵腊月遇到的第一次暗杀,2245,2018/4/4 20:00
第九十三章穿着厚布衣的少女,1965,2018/4/5 20:00
第九十四章最难摆脱的不是剑光，而是意外,2236,2018/4/6 20:00
第九十五章那人在崖边钓鸟,1998,2018/4/7 20:00
第九十六章一片血光里开始查案,2178,2018/4/8 20:00
第九十七章中州派与水月庵的处置,2098,2018/4/9 20:00
第九十八章请你看看我,2551,2018/4/10 20:00
第九十九章最直接的问题,2101,2018/4/11 20:00
第一百章整个人间只剩太平,2415,2018/4/12 20:00
第一百零一章踏上修行路的王小明,2077,2018/4/13 20:00
第一百零二章我怜世人忧患多,2053,2018/4/14 20:00
第一百零三章我们都在井底,2109,2018/4/15 20:00
第一百零四章想想人间,2355,2018/4/16 20:00
第一百零五章踏血寻梅,2252,2018/4/17 20:00
第一百零六章来看看你们,2252,2018/4/18 20:00
第一百零七章你来就你来,2797,2018/4/19 20:00
第一百零八章交代,2032,2018/4/20 20:00
第一百零九章寒意十足的信号,2148,2018/4/21 20:00
第一百一十章只要井九有感觉,2186,2018/4/22 20:00
第一百一十一章晨光与暮色之间的你在哪里？,2034,2018/4/23 20:00
第一百一十二章寒雾外响起的声音,2492,2018/4/24 20:00
第一百一十三章远方的无数血梅,2236,2018/4/25 20:00
第一百一十四章又是井九,1998,2018/4/26 20:00
第一百一十五章师叔来了,2132,2018/4/27 20:00
第一百一十六章道战第一想做啥？,2110,2018/4/28 20:00
第一百一十七章你以为你是谁？,2281,2018/4/29 20:00
第一百一十八章不恕,2804,2018/4/30 20:00
第一百一十九章都走,2932,2018/5/1 20:00
第一百二十章白城里的庙,2619,2018/5/2 20:00
第一百二十一章我来人间看看太阳,2101,2018/5/3 20:00
第一百二十二章看了一眼，万里之远,2264,2018/5/4 20:00
第一百二十三章消失的高大身影,2874,2018/5/5 20:00
第一百二十四章前世此生未遇之对手,2242,2018/5/6 20:00
第一百二十五章雪虫腹内有只鬼,2142,2018/5/7 20:00
第一百二十六章我不想为你做嫁衣,3201,2018/5/8 20:00
第一百二十七章令人厌倦的故事,2058,2018/5/9 20:00
第一百二十八章与冰雪女王的谈判,2197,2018/5/10 20:00
第一百二十九章谈判的结果有些微妙,2186,2018/5/11 20:00
第一百三十章十年之后杀了洛淮南？,3541,2018/5/12 20:00
第一百三十一章请讲出你的故事，信就算我输,3060,2018/5/13 20:00
第一百三十二章且放梨花满,2949,2018/5/14 20:00
第一章三年,3189,2018/5/15 20:00
第二章童颜拜山,3019,2018/5/16 20:00
第三章暮色再至宝树居,2979,2018/5/17 20:00
第四章春雨再至朝歌城,2048,2018/5/18 20:00
第五章夜宫再见胡贵妃,2264,2018/5/19 20:00
第六章借剑杀人,2057,2018/5/20 12:00
第七章洛淮南的局,2104,2018/5/20 20:00
第八章谁是局中人,2465,2018/5/21 12:00
第九章洛淮南之死,2256,2018/5/21 20:00
第十章人死如烟生,2124,2018/5/22 12:00
第十一章谁来回答这个问题？,2413,2018/5/22 20:00
第十二章真凶是谁？,2194,2018/5/23 12:00
第十三章不见天日柳十岁,2227,2018/5/23 20:00
第十四章奈何天日必昭昭,2131,2018/5/24 12:00
第十五章朝朝如此谁能活,2040,2018/5/24 20:00
第十六章活人无数不老林,2445,2018/5/25 12:00
第十七章林中有鸟各自飞,2142,2018/5/25 20:00
第十八章又是道战临雪原,2893,2018/5/26 12:00
第十九章好大的动静,2734,2018/5/26 20:00
第二十章六年里的故事,2208,2018/5/27 12:00
第二十一章抽丝,2222,2018/5/27 20:00
第二十二章剥茧,2023,2018/5/28 12:00
第二十三章小白花,2339,2018/5/28 20:00
第二十四章小酒窝,1923,2018/5/29 12:00
第二十五章一曲寒蝉,2118,2018/5/29 20:00
第二十六章站这峰，望那峰,1997,2018/5/30 12:00
第二十七章偷猫,2111,2018/5/30 20:00
第二十八章四大镇守的来历,2060,2018/5/31 12:00
第二十九章尸狗,2127,2018/5/31 20:00
第三十章白吃,2077,2018/6/1 12:00
第三十一章这样和那样的人,2037,2018/6/1 20:00
第三十二章乱礁斗剑,2164,2018/6/2 12:00
第三十三章天若无情方不老（上）,2239,2018/6/2 20:00
第三十四章寻剑,2458,2018/6/3 12:00
第三十五章喜欢吃烤肉的年轻人,1973,2018/6/3 20:00
第三十六章早有故事在上头,2247,2018/6/4 12:00
第三十七章他是谁,2313,2018/6/4 20:00
第三十八章那么，就到这里了,2105,2018/6/5 12:00
第三十九章还君明珠,2133,2018/6/5 20:00
第三十九章剑游,2110,2018/6/6 12:00
第四十章跨过山和大海的巨人,2307,2018/6/6 20:00
第四十一章掌门因何发笑？,2101,2018/6/7 12:00
第四十二章经,2158,2018/6/7 20:00
第四十四章太常寺的斜风细雨,2193,2018/6/8 12:00
第四十五章离开青山的流星雨,2050,2018/6/8 20:00
第四十六章谁于水面张青盖,2295,2018/6/10 12:00
第四十七章天地间最锋利的剑,2118,2018/6/10 20:00
第四十八章心有猛虎，细嗅茉莉,2053,2018/6/11 12:00
第四十九章两小无猜,2175,2018/6/11 20:00
第五十章多话的柳十岁,2206,2018/6/12 12:00
第五十一章一声叹息,2310,2018/6/12 20:00
第五十二章闲笔,2135,2018/6/13 12:00
第五十三章白发三千,2173,2018/6/13 20:00
第五十四章君不见,2222,2018/6/14 12:00
第五十五章高堂明镜悲白发,2177,2018/6/14 20:00
第五十六章云台的真面容,2111,2018/6/15 12:00
第五十七章卖刀者说,2417,2018/6/15 20:00
第五十八章海上生巨山,2020,2018/6/16 12:00
第五十九章吾乃骑鲸乐浪人,2049,2018/6/16 20:00
第六十章井九讲故事,2484,2018/6/17 12:00
第六十一章 那些年我们吃的火锅、杀的人,2044,2018/6/18 12:00
第六十二章他人即地狱,2147,2018/6/19 12:00
第六十三章云台明灭,2081,2018/6/20 12:00
第六十四章摸鱼的白衣少女,2074,2018/6/21 12:00
第六十五章菜园纪事,2369,2018/6/22 22:34
第六十六章格局、问题以及麻烦,2299,2018/6/23 20:00
第六十七章亲妈、腐乳以及归期,2263,2018/6/24 20:00
第六十八章小妈来了？,2096,2018/6/25 20:00
第六十九章我知道你们这些年想做什么,2315,2018/6/26 20:00
第七十章有所得,2290,2018/6/27 20:00
第七十一章摸鱼儿（上）,2060,2018/6/28 20:00
第七十二章摸鱼儿（中）,2016,2018/6/29 20:00
第七十三章摸鱼儿（下）,2175,2018/6/30 20:00
第一章回山,2307,2018/7/2 20:00
第二章谈判,2341,2018/7/3 20:00
第三章不懂,2201,2018/7/4 20:00
第四章野竹,2225,2018/7/5 20:00
第五章如临大敌,2315,2018/7/6 20:00
